,label
16754,Draw
16756,Draw
16762,Draw
16763,Draw
16764,Draw
16766,Draw
16767,Draw
16769,Draw
16771,Draw
16776,Draw
16778,Draw
16780,Draw
16781,Draw
16787,Draw
16798,Draw
16800,Draw
16804,Draw
16805,Draw
16806,Draw
16810,Draw
16812,Draw
16814,Draw
16815,Draw
16816,Draw
16818,Draw
16820,Draw
16823,Draw
16829,Draw
16830,Draw
16834,Draw
16836,Draw
16841,Draw
16850,Draw
16854,Draw
16857,Draw
16866,Draw
16867,Draw
16869,Draw
16870,Draw
16873,Draw
16879,Draw
16895,Draw
16898,Draw
16910,Draw
16923,Draw
16930,Draw
16938,Draw
16944,Draw
16953,Draw
16957,Draw
16965,Draw
16974,Draw
16975,Draw
16980,Draw
16982,Draw
16986,Draw
16988,Draw
16991,Draw
16992,Draw
16996,Draw
17006,Draw
17009,Draw
17015,Draw
17017,Draw
17026,Draw
17028,Draw
17029,Draw
17030,Draw
17032,Draw
17039,Draw
17040,Draw
17044,Draw
17045,Draw
17051,Draw
17052,Draw
17058,Draw
17061,Draw
17064,Draw
17068,Draw
17080,Draw
17082,Draw
17085,Draw
17086,Draw
17094,Draw
17106,Draw
17107,Draw
17110,Draw
17115,Draw
17128,Draw
17135,Draw
17138,Draw
17142,Draw
17155,Draw
17159,Draw
17166,Defeat
17167,Defeat
17168,Draw
17169,Defeat
17170,Draw
17171,Defeat
17177,Draw
17179,Defeat
17180,Draw
17181,Defeat
17182,Draw
17185,Draw
17186,Draw
17187,Defeat
17188,Defeat
17191,Defeat
17192,Defeat
17195,Defeat
17196,Draw
17197,Defeat
17198,Defeat
17200,Defeat
17203,Draw
17206,Defeat
17207,Draw
17211,Draw
17213,Draw
17215,Defeat
17217,Draw
17222,Draw
17223,Defeat
17224,Draw
17225,Draw
17226,Defeat
17227,Defeat
17229,Win
17230,Draw
17231,Win
17232,Win
17233,Win
17234,Win
17235,Draw
17236,Defeat
17237,Win
17238,Win
17239,Defeat
17240,Win
17241,Defeat
17242,Defeat
17243,Defeat
17244,Defeat
17245,Win
17246,Win
17247,Defeat
17248,Draw
17249,Draw
17250,Win
17251,Defeat
17252,Draw
17253,Draw
17254,Defeat
17255,Draw
17256,Defeat
17257,Win
17258,Win
17259,Defeat
17260,Draw
17261,Defeat
17262,Win
17263,Win
17264,Win
17265,Win
17266,Defeat
17267,Win
17268,Draw
17269,Win
17270,Defeat
17271,Defeat
17272,Win
