,label
12488,2
12502,2
12510,2
12511,2
12516,2
12517,2
12519,2
12524,2
12529,2
12531,2
12536,2
12543,2
12544,2
12546,2
12548,2
12549,2
12556,2
12559,2
12562,2
12567,2
12568,2
12574,2
12576,2
12581,2
12593,2
12594,2
12597,2
12600,2
12601,2
12603,2
12606,2
12609,2
12615,2
12616,2
12622,2
12625,2
12627,2
12654,2
12657,2
12660,2
12662,2
12663,2
12670,2
12675,2
12692,2
12697,2
12698,2
12702,2
12707,2
12713,2
12716,2
12718,2
12720,2
12721,2
12722,2
12728,2
12733,2
12735,2
12737,2
12745,2
12748,2
12755,2
12757,2
12758,2
12763,2
12768,2
12771,2
12778,2
12779,2
12780,2
12781,2
12784,2
12786,2
12791,2
12804,2
12807,2
12816,2
12818,0
12819,0
12820,2
12822,0
12823,2
12824,0
12825,0
12826,0
12827,2
12828,0
12829,0
12830,0
12831,0
12832,0
12833,0
12834,0
12835,0
12836,0
12837,2
12838,0
12839,0
12840,0
12842,0
12843,0
12844,2
12850,0
12851,0
12853,2
12854,0
12856,0
12857,0
12858,0
12859,2
12861,0
12862,0
12863,0
12864,2
12865,0
12866,0
12868,2
12870,0
12871,0
12872,0
12873,2
12874,0
12875,0
12876,0
12877,2
12878,0
12879,0
12881,0
12882,0
12884,0
12885,2
12888,0
12889,0
12890,2
12891,0
12892,0
12893,0
12896,0
12897,0
12898,0
12899,2
12900,0
12901,2
12902,0
12904,0
12906,0
12908,0
12909,0
12910,0
12911,0
12912,0
12913,0
12914,2
12918,2
12919,2
12920,0
12921,0
12923,0
12925,0
12927,2
12928,2
12929,2
12930,0
12931,2
12934,0
12935,2
12936,0
12938,2
12939,0
12940,0
12941,0
12943,2
12948,0
12949,0
12950,0
12951,2
12953,0
12954,0
12958,2
12959,0
12960,2
12961,2
12962,2
12963,2
12964,0
12965,0
12966,0
12969,0
12974,0
12976,0
12977,0
12978,0
12979,0
12980,0
12981,2
12984,0
12985,0
12986,0
12988,0
12990,0
12992,2
12995,0
12997,0
12998,0
12999,2
13001,0
13002,2
13003,0
13004,0
13005,2
13006,0
13007,2
13008,0
13009,0
13012,0
13013,0
13014,2
13015,2
13016,0
13017,0
13021,2
13022,0
13023,0
13025,0
13027,0
13028,0
13029,2
13030,0
13031,2
13033,0
13034,2
13036,2
13037,0
13038,0
13039,2
13041,2
13043,0
13046,2
13050,0
13052,0
13053,0
13054,0
13056,0
13057,0
13058,0
13059,2
13060,0
13061,2
13063,0
13066,0
13067,0
13068,2
13069,0
13070,0
13071,0
13072,2
13074,0
13075,2
13076,2
13080,2
13081,2
13082,2
13083,0
13084,0
13085,0
13086,0
13087,2
13088,0
13089,0
13090,0
13091,2
13092,0
13093,2
13094,0
13095,2
13096,2
13097,0
13098,2
13099,0
13100,0
13102,2
13103,2
13104,2
13105,0
13106,2
13107,0
13110,0
13111,2
13112,0
13114,0
13115,2
13116,2
13118,1
13119,2
13120,0
13121,0
13122,1
13123,2
13124,0
13125,0
13126,1
13127,1
13128,2
13129,2
13130,1
13131,2
13132,0
13133,1
13134,1
13135,2
13136,1
13137,0
13138,2
13139,0
13140,0
13141,1
13142,0
13143,0
13144,1
13145,1
13146,1
13147,0
13148,1
13149,0
13150,0
13151,2
13152,0
13153,2
13154,2
13155,0
13156,1
13157,1
13158,2
13159,2
13160,2
13161,0
13162,0
13163,0
13164,0
13165,1
13166,1
13167,0
13168,0
13169,0
13170,1
13171,0
13172,0
13173,1
13174,2
13175,0
13176,1
13177,0
13178,1
13179,0
13180,0
13181,0
13182,1
13183,0
13184,2
13185,2
13186,0
13187,0
13188,0
13189,1
13190,0
13191,1
13192,0
13193,0
13194,0
13195,1
13196,1
13197,1
13198,0
13199,0
13200,1
13201,1
13202,0
13203,1
13204,0
13205,2
13206,2
13207,0
13208,0
13209,0
13210,1
13211,0
13212,2
13213,1
13214,0
13215,0
13216,0
13217,0
13218,0
13219,2
13220,0
13221,2
13222,1
13223,1
13224,0
13225,2
13226,1
13227,1
13228,1
13229,1
13230,0
13231,1
13232,2
13233,1
13234,0
13235,1
13236,0
13237,2
13238,2
13239,1
13240,0
13241,0
13242,0
13243,0
13244,0
13245,1
13246,2
13247,1
13248,2
13249,1
13250,0
13251,0
13252,0
13253,0
13254,0
13255,1
13256,0
13257,0
13258,0
13259,0
13260,0
13261,2
13262,1
13263,2
13264,0
13265,1
13266,0
13267,0
13268,1
13269,0
13270,0
13271,1
13272,1
13273,0
13274,1
13275,2
13276,2
13277,0
13278,0
13279,0
13280,2
13281,0
13282,1
13283,1
13284,2
13285,0
13286,0
13287,0
13288,0
13289,1
13290,1
13291,1
13292,2
13293,2
13294,0
13295,2
13296,2
13297,0
13298,0
13299,0
13300,0
13301,1
13302,2
13303,0
13304,2
13305,1
13306,0
13307,1
13308,2
13309,0
13310,1
13311,0
13312,2
13313,0
13314,2
13315,2
13316,0
13317,2
13318,2
13319,1
13320,0
13321,1
13322,1
13323,1
13324,1
13325,0
13326,0
13327,0
13328,1
13329,1
13330,2
13331,2
13332,0
13333,0
13334,2
13335,2
13336,0
13337,2
13338,0
13339,1
13340,0
13341,1
13342,2
13343,0
13344,0
13345,0
13346,2
13347,0
13348,0
13349,1
13350,1
13351,0
13352,2
13353,0
13354,1
13355,0
13356,2
13357,2
13358,1
13359,2
13360,2
13361,0
13362,0
13363,0
13364,1
13365,0
13366,1
13367,2
13368,1
13369,2
13370,0
13371,0
13372,2
13373,0
13374,1
13375,2
13376,2
13377,0
13378,0
13379,0
13380,1
13381,0
13382,2
13383,0
13384,2
13385,1
13386,0
13387,1
13388,0
13389,0
13390,0
13391,1
13392,1
13393,2
13394,0
13395,1
13396,1
13397,1
13398,1
13399,1
13400,0
13401,0
13402,0
13403,1
13404,0
13405,0
13406,1
13407,2
13408,1
13409,0
13410,0
13411,2
13412,0
13413,0
13414,0
13415,1
13416,0
13417,0
13418,2
13419,1
13420,2
13421,0
13422,0
13423,0
13424,1
13425,0
13426,0
13427,1
13428,1
13429,0
13430,0
13431,1
13432,0
13433,0
13434,0
13435,0
13436,1
13437,0
13438,0
13439,0
13440,1
13441,2
13442,2
13443,2
13444,0
13445,0
13446,1
13447,0
13448,2
13449,0
13450,2
13451,0
13452,1
13453,1
13454,1
13455,1
13456,2
13457,1
13458,2
13459,0
13460,1
13461,2
13462,0
13463,0
13464,0
13465,0
13466,1
13467,2
13468,0
13469,0
13470,2
13471,1
